DM029462145BR,07/07/2014 11:13:30
PD836298795BR,05/08/2014 09:50:01
DM035141255BR,10/07/2014 17:29:29
DG490464120BR,15/07/2014 08:08:36
DG505015102BR,15/07/2014 08:08:54
PD721978621BR,07/07/2014 12:08:39
PD740174128BR,10/07/2014 17:31:02
PD835918682BR,05/08/2014 11:24:16
PD732298488BR,15/07/2014 08:10:15
PD783518917BR,15/07/2014 08:10:46
PD836349506BR,05/08/2014 11:29:43
DG510169061BR,07/07/2014 12:41:53
PD721999913BR,15/07/2014 08:11:09
PD845148670BR,05/08/2014 11:32:33
SW925316155BR,07/07/2014 12:42:37
DM029591162BR,07/07/2014 12:42:39
DM032067919BR,10/07/2014 17:33:55
DM029542303BR,07/07/2014 12:44:09
DM029491782BR,07/07/2014 12:44:15
DM062593666BR,05/08/2014 11:43:37
PD840638331BR,05/08/2014 11:44:36
PD785402845BR,07/07/2014 12:44:47
PD735202855BR,15/07/2014 08:14:23
PD782177690BR,07/07/2014 12:45:11
PD707695933BR,07/07/2014 12:45:58
PD783824639BR,07/07/2014 12:45:58
PD767103920BR,10/07/2014 17:36:37
DM031639266BR,15/07/2014 08:15:09
PD785241281BR,07/07/2014 12:47:02
PD801711587BR,21/07/2014 20:23:23
DM022507240BR,07/07/2014 14:09:48
DM031056013BR,15/07/2014 08:16:10
DG510182085BR,07/07/2014 14:41:49
PD783465216BR,05/08/2014 12:09:21
DG546820544BR,21/07/2014 20:37:38
PD792193374BR,10/07/2014 17:40:06
DM034424542BR,15/07/2014 08:16:30
PD725717564BR,15/07/2014 08:16:31
PD802787508BR,21/07/2014 20:39:03
PD855423734BR,05/08/2014 12:25:03
PD773392409BR,15/07/2014 08:17:06
PD677661602BR,07/07/2014 14:45:05
PD739590191BR,07/07/2014 14:46:05
DM061240676BR,05/08/2014 13:20:30
DM053185567BR,05/08/2014 13:20:48
PD796589378BR,15/07/2014 08:17:46
PD785302618BR,07/07/2014 14:48:10
PD845778239BR,05/08/2014 13:26:55
PD717709331BR,07/07/2014 14:49:39
PD785432670BR,07/07/2014 14:50:11
PD802809778BR,21/07/2014 20:48:31
PD477495096BR,15/07/2014 08:19:18
PD739595619BR,15/07/2014 08:19:28
PD801551973BR,21/07/2014 20:49:32
PD802621035BR,21/07/2014 20:50:10
PD713018772BR,07/07/2014 14:51:52
DG570472734BR,05/08/2014 13:37:49
PD444751874BR,07/07/2014 14:58:13
PD719351419BR,15/07/2014 08:20:50
PD718258063BR,10/07/2014 17:46:53
PD837190905BR,05/08/2014 13:40:16
PD740169321BR,07/07/2014 16:08:20
PD792751869BR,10/07/2014 17:48:07
DM031637424BR,15/07/2014 08:22:55
PD725697635BR,15/07/2014 08:23:03
DG510167012BR,07/07/2014 16:41:53
DG510151485BR,07/07/2014 16:42:11
DM031627648BR,15/07/2014 08:23:41
DM038856203BR,21/07/2014 20:58:33
PD720505611BR,21/07/2014 20:59:29
SW932247946BR,10/07/2014 17:52:07
DM058248122BR,05/08/2014 13:56:36
PD788037205BR,15/07/2014 08:25:43
PD451908630BR,10/07/2014 18:00:26
DM065048736BR,05/08/2014 13:59:45
DG476373785BR,10/07/2014 19:14:15
DM040532965BR,21/07/2014 21:03:08
DM028757373BR,07/07/2014 16:43:30
PD757750195BR,21/07/2014 21:03:32
DM029514174BR,07/07/2014 16:43:35
DG509979447BR,10/07/2014 19:15:04
DM038821632BR,21/07/2014 21:04:54
DM066120065BR,05/08/2014 14:05:34
SW982762920BR,10/07/2014 19:16:32
SW981752373BR,10/07/2014 19:16:41
PD767432214BR,10/07/2014 19:16:42
SW985015095BR,10/07/2014 19:16:44
DM060564035BR,05/08/2014 14:08:30
SW976936388BR,10/07/2014 19:16:57
PD769743642BR,10/07/2014 19:16:58
PD802543593BR,21/07/2014 21:08:07
DM028775641BR,15/07/2014 08:40:43
PD720787886BR,10/07/2014 19:17:57
DM028174956BR,15/07/2014 08:41:00
PD729510327BR,10/07/2014 19:18:22
PD787997590BR,10/07/2014 19:18:24
PD845105609BR,05/08/2014 14:18:55
SW984405262BR,07/07/2014 16:44:34
PD785395835BR,07/07/2014 16:44:37
PD840621512BR,05/08/2014 14:25:39
DM028348042BR,05/08/2014 15:15:38
SW995820966BR,05/08/2014 15:16:43
PD796422506BR,15/07/2014 08:42:36
PD752654988BR,21/07/2014 21:16:08
PD803030635BR,21/07/2014 21:16:16
DM028773230BR,07/07/2014 16:45:56
DM037674181BR,21/07/2014 21:18:36
PD785108472BR,07/07/2014 16:46:11
PD728078392BR,10/07/2014 19:23:47
DM040596612BR,21/07/2014 21:20:35
PD728015429BR,15/07/2014 08:44:08
DM058240659BR,05/08/2014 15:27:26
PD785104348BR,07/07/2014 16:46:39
PD785060580BR,07/07/2014 16:46:40
PD796476393BR,15/07/2014 08:44:31
DM040582675BR,21/07/2014 21:22:58
PD845168025BR,05/08/2014 15:30:05
PD802918486BR,21/07/2014 21:23:39
PD788045808BR,21/07/2014 21:23:47
DM065063999BR,05/08/2014 15:30:48
DM038571400BR,21/07/2014 21:25:13
PD782375770BR,07/07/2014 16:47:31
PD783831056BR,07/07/2014 16:47:32
DG531762377BR,10/07/2014 19:27:38
PD783807128BR,07/07/2014 16:47:51
PD782354117BR,07/07/2014 16:47:55
PD802982630BR,21/07/2014 21:28:12
SW987405346BR,15/07/2014 08:45:46
PD835902458BR,05/08/2014 15:37:49
DM029600108BR,10/07/2014 19:28:36
DM034402670BR,15/07/2014 08:45:54
DM028184366BR,10/07/2014 19:28:41
PD728842115BR,07/07/2014 16:48:11
PD802619898BR,21/07/2014 21:30:09
PD802913210BR,21/07/2014 21:30:55
PD727684798BR,07/07/2014 16:48:33
DM033370715BR,15/07/2014 08:46:30
DM037300167BR,21/07/2014 21:32:55
PD727992025BR,15/07/2014 08:46:56
DM038833468BR,21/07/2014 21:35:07
PD728075864BR,15/07/2014 08:47:05
DM040469106BR,21/07/2014 21:36:09
DM031089348BR,10/07/2014 19:32:10
PD785318842BR,07/07/2014 16:49:27
PD748031403BR,07/07/2014 16:49:28
DM060580639BR,05/08/2014 15:48:38
DM053739955BR,05/08/2014 15:49:04
PD783758395BR,07/07/2014 16:49:35
PD785321413BR,07/07/2014 16:49:39
PD785377911BR,07/07/2014 16:49:41
PD785489714BR,07/07/2014 16:49:42
PD783467945BR,07/07/2014 16:49:49
PD785231514BR,05/08/2014 15:50:54
PD798043435BR,21/07/2014 21:39:06
PD795587407BR,15/07/2014 08:48:01
DM065016217BR,05/08/2014 15:52:52
PD798258731BR,07/07/2014 18:08:09
PD696469770BR,07/07/2014 18:08:11
DM065061953BR,05/08/2014 15:55:44
PD449735025BR,07/07/2014 18:08:25
DM031010586BR,10/07/2014 19:36:02
DM026437632BR,07/07/2014 18:08:43
DM031050188BR,10/07/2014 19:36:29
DM025204764BR,07/07/2014 18:08:44
DM019431965BR,07/07/2014 18:08:49
PD690076545BR,15/07/2014 08:49:05
DM038768089BR,21/07/2014 21:51:41
SW987448457BR,15/07/2014 08:49:22
SW997106960BR,07/07/2014 18:09:00
DM028118605BR,10/07/2014 19:37:46
PD802611069BR,21/07/2014 22:34:22
DM040621161BR,21/07/2014 22:34:38
PD803107970BR,21/07/2014 22:34:40
DM066062076BR,05/08/2014 16:02:09
PD796532016BR,15/07/2014 08:49:40
DM038809132BR,21/07/2014 22:35:28
DG510163761BR,07/07/2014 18:41:57
PD802968244BR,21/07/2014 22:36:47
PD801667716BR,21/07/2014 22:36:56
DG546865276BR,05/08/2014 16:03:09
PD802952258BR,21/07/2014 22:38:42
PD802970225BR,21/07/2014 22:39:12
PD801684175BR,21/07/2014 22:39:36
SW985505409BR,10/07/2014 19:38:56
PD801711803BR,21/07/2014 22:41:18
PD802937437BR,21/07/2014 22:42:47
DG466182242BR,07/07/2014 18:42:12
DM038834242BR,21/07/2014 22:42:53
PD802965693BR,21/07/2014 22:43:11
DM038829741BR,21/07/2014 22:43:25
DM040472900BR,21/07/2014 22:45:28
DM038825339BR,21/07/2014 22:45:42
PD796107623BR,21/07/2014 22:46:20
PD802952045BR,21/07/2014 22:46:49
PD802549429BR,21/07/2014 22:46:50
DM032852322BR,21/07/2014 22:47:10
DM040519244BR,21/07/2014 22:47:21
PD787994253BR,10/07/2014 19:40:47
PD802539069BR,21/07/2014 22:48:23
DM040537910BR,21/07/2014 22:49:35
PD801732264BR,21/07/2014 22:49:42
PD801684586BR,21/07/2014 22:50:15
PD802954775BR,21/07/2014 22:50:42
PD766295962BR,05/08/2014 16:08:39
DM038774623BR,21/07/2014 22:53:25
PD801714597BR,21/07/2014 22:56:19
DM038838385BR,21/07/2014 22:56:23
PD801674473BR,21/07/2014 22:56:33
DM035054052BR,15/07/2014 08:50:58
DM038787539BR,21/07/2014 22:57:19
PD803027636BR,21/07/2014 22:57:21
DM038761457BR,21/07/2014 22:57:58
DM034459657BR,15/07/2014 08:51:09
DM040571108BR,21/07/2014 22:58:23
PD803065373BR,21/07/2014 22:58:51
PD802977864BR,21/07/2014 22:59:47
DM029542215BR,07/07/2014 18:43:32
PD802989275BR,21/07/2014 23:00:01
DM040613620BR,21/07/2014 23:00:02
DM040464537BR,21/07/2014 23:01:19
PD802820932BR,21/07/2014 23:02:23
DM038758824BR,21/07/2014 23:02:24
PD801682571BR,21/07/2014 23:03:24
DM038566427BR,21/07/2014 23:03:31
PD803050507BR,21/07/2014 23:04:29
PD792701425BR,10/07/2014 19:44:27
DG546844112BR,21/07/2014 23:06:05
DM040630441BR,21/07/2014 23:06:52
PD802918251BR,21/07/2014 23:07:00
PD726862228BR,07/07/2014 18:43:54
DM038768795BR,21/07/2014 23:08:47
DG554613521BR,21/07/2014 23:09:17
PD801706471BR,21/07/2014 23:09:34
DM038820495BR,21/07/2014 23:09:48
DG476351881BR,15/07/2014 08:52:03
DM035037258BR,15/07/2014 08:52:04
PD783775337BR,07/07/2014 18:44:02
DG554605406BR,21/07/2014 23:10:53
DM040456425BR,21/07/2014 23:11:12
DM040618817BR,21/07/2014 23:11:16
PD802919637BR,21/07/2014 23:11:47
DG580353232BR,05/08/2014 16:18:33
PD803023489BR,21/07/2014 23:12:40
SW993531856BR,15/07/2014 08:52:15
PD801208318BR,21/07/2014 23:13:15
DM040496336BR,21/07/2014 23:13:27
PD752034410BR,21/07/2014 23:13:43
PD802759422BR,21/07/2014 23:13:47
PD796644193BR,15/07/2014 08:52:22
PD802629966BR,21/07/2014 23:15:04
DM040650622BR,21/07/2014 23:15:26
PD802928673BR,21/07/2014 23:15:53
DM040542999BR,21/07/2014 23:17:07
DM038771026BR,21/07/2014 23:17:41
PD803078482BR,21/07/2014 23:17:42
DM038815257BR,21/07/2014 23:17:50
DG554589703BR,21/07/2014 23:19:27
PD752955078BR,15/07/2014 08:53:00
PD796458412BR,15/07/2014 08:53:09
null,21/07/2014 23:24:40
PD799266045BR,05/08/2014 16:25:48
DM038827723BR,21/07/2014 23:26:01
DM032245251BR,10/07/2014 19:49:32
DM038787485BR,21/07/2014 23:28:31
PD795536379BR,15/07/2014 08:53:29
PD802836212BR,21/07/2014 23:28:36
DM040567956BR,21/07/2014 23:28:40
PD785368469BR,07/07/2014 18:44:47
DM038838142BR,21/07/2014 23:29:45
PD699223651BR,21/07/2014 23:30:55
PD785112018BR,07/07/2014 18:44:49
DM035100980BR,21/07/2014 23:31:46
DM040490761BR,21/07/2014 23:32:29
DM040567148BR,21/07/2014 23:33:51
PD837221735BR,05/08/2014 16:28:58
PD792734653BR,10/07/2014 19:50:01
PD802995854BR,21/07/2014 23:37:14
PD802811255BR,21/07/2014 23:38:55
DM040643241BR,21/07/2014 23:40:57
DM040624273BR,21/07/2014 23:41:28
PD742242801BR,10/07/2014 19:50:24
PD757443402BR,07/07/2014 18:44:57
PD836709875BR,05/08/2014 16:31:23
PD833031285BR,05/08/2014 16:31:31
DM040598750BR,22/07/2014 00:27:05
DM038765065BR,22/07/2014 00:27:09
DM038799231BR,22/07/2014 00:27:12
DM040480486BR,22/07/2014 00:27:13
DG554620955BR,22/07/2014 00:27:58
DG546864770BR,22/07/2014 00:27:59
DG546794835BR,22/07/2014 00:28:07
PD785420570BR,07/07/2014 18:45:03
DM029643085BR,07/07/2014 18:45:03
DM040578905BR,22/07/2014 00:28:55
DM040533113BR,22/07/2014 00:29:17
DM038789490BR,22/07/2014 00:29:31
DM033334633BR,22/07/2014 00:29:35
DG554616580BR,22/07/2014 00:29:37
DM035004515BR,15/07/2014 08:54:08
DM038562147BR,22/07/2014 00:29:54
DG554589748BR,22/07/2014 00:29:59
DM031078915BR,10/07/2014 19:51:06
DM040590518BR,22/07/2014 00:30:24
DM040450039BR,22/07/2014 00:30:40
PD785232395BR,07/07/2014 18:45:05
DM040644746BR,22/07/2014 00:31:14
DM038800460BR,22/07/2014 00:31:29
DM038778951BR,22/07/2014 00:31:37
DM040518819BR,22/07/2014 00:31:37
DM036948658BR,22/07/2014 00:32:18
DG546858805BR,22/07/2014 00:32:22
DM040529153BR,22/07/2014 00:32:32
DM035062796BR,22/07/2014 00:32:41
DM040576825BR,22/07/2014 00:32:53
PD800061593BR,22/07/2014 00:33:18
DG546861827BR,22/07/2014 00:33:20
PD802940997BR,22/07/2014 00:33:30
DM037252988BR,22/07/2014 00:33:51
DM038825413BR,22/07/2014 00:34:18
DM038822505BR,22/07/2014 00:34:50
DM038788211BR,22/07/2014 00:34:56
PD796622533BR,22/07/2014 00:35:53
DM040610447BR,22/07/2014 00:36:00
DM034433252BR,22/07/2014 00:36:20
DM040529459BR,22/07/2014 00:36:31
DM040595047BR,22/07/2014 00:36:44
DM038568666BR,22/07/2014 00:37:00
DM040487665BR,22/07/2014 00:37:13
DM040575691BR,22/07/2014 00:37:59
PD801679232BR,22/07/2014 00:38:47
DM040590504BR,22/07/2014 00:39:14
DM038567759BR,22/07/2014 00:39:17
PD802596826BR,22/07/2014 00:39:31
DM035057822BR,22/07/2014 00:39:32
DM037660514BR,22/07/2014 00:40:12
DM040494499BR,22/07/2014 00:40:16
DM035129895BR,22/07/2014 00:40:16
DM040465988BR,22/07/2014 00:40:58
DM040565663BR,22/07/2014 00:41:12
DM038767211BR,22/07/2014 00:41:53
DM037256287BR,22/07/2014 00:41:59
PD802950186BR,22/07/2014 00:42:54
DG546766446BR,22/07/2014 00:42:55
DM038781099BR,22/07/2014 00:42:58
DM038823602BR,22/07/2014 00:42:59
DM036272575BR,05/08/2014 16:39:51
DM040495619BR,22/07/2014 00:43:28
DM038838301BR,22/07/2014 00:44:02
DM038476315BR,22/07/2014 00:44:19
PD716143350BR,07/07/2014 18:45:21
DG546795969BR,22/07/2014 00:44:38
DM040452848BR,22/07/2014 00:45:03
DM040543226BR,22/07/2014 00:46:04
DM040636696BR,22/07/2014 00:46:39
DM040494825BR,22/07/2014 00:46:57
PD845193360BR,05/08/2014 16:42:45
DM038850483BR,22/07/2014 00:46:57
DG546829968BR,22/07/2014 00:47:06
DM040482544BR,22/07/2014 00:47:19
DM038542451BR,22/07/2014 00:47:30
DM037248135BR,22/07/2014 00:48:01
DM040517827BR,22/07/2014 00:48:07
PD783507004BR,15/07/2014 08:54:56
DM040516375BR,22/07/2014 00:48:43
DG543129670BR,22/07/2014 00:49:11
DG546846158BR,22/07/2014 00:49:14
DG554614601BR,22/07/2014 00:49:57
