PD728439167BR,17/08/2014 00:47:51
PD871126995BR,17/08/2014 00:51:47
PD872246040BR,17/08/2014 00:51:47
PD871130399BR,17/08/2014 00:51:51
DM080843382BR,17/08/2014 00:51:52
PD871106253BR,17/08/2014 00:51:59
PD873883445BR,17/08/2014 00:57:25
DM080807677BR,17/08/2014 00:57:41
DM080963969BR,17/08/2014 00:57:44
PD871904479BR,17/08/2014 00:57:46
DM080620473BR,17/08/2014 00:59:11
PD720478068BR,17/08/2014 01:01:04
PD867378578BR,17/08/2014 01:01:13
PD867410874BR,17/08/2014 01:03:30
PD679657203BR,17/08/2014 03:57:06
SW891251475BR,17/08/2014 04:52:25
PD869545826BR,17/08/2014 04:56:09
SW890395385BR,17/08/2014 04:59:32
PD453394929BR,17/08/2014 08:56:43
PD462303988BR,17/08/2014 09:02:22
PD862008788BR,17/08/2014 12:51:30
DG494553559BR,17/08/2014 12:59:06
PD731328285BR,17/08/2014 13:01:42
PD747723439BR,17/08/2014 16:51:47
PD748419192BR,17/08/2014 16:52:02
PD739032595BR,17/08/2014 16:52:04
PD741089029BR,17/08/2014 16:52:07
SW995792465BR,17/08/2014 16:52:11
SW996139811BR,17/08/2014 16:53:22
PD747708768BR,17/08/2014 16:53:22
PD740190704BR,17/08/2014 16:53:42
PD727118974BR,17/08/2014 16:53:57
PD747730457BR,17/08/2014 16:54:50
PD740170850BR,17/08/2014 16:55:47
PD741378224BR,17/08/2014 16:55:55
PD745628007BR,17/08/2014 16:55:59
PD872319714BR,17/08/2014 16:57:36
SW996160955BR,17/08/2014 16:57:37
PD746486574BR,17/08/2014 16:57:45
PD747710996BR,17/08/2014 16:57:48
PD748913213BR,17/08/2014 16:57:51
SW994015505BR,17/08/2014 16:59:49
PD729503272BR,17/08/2014 17:01:33
SW993146243BR,17/08/2014 17:01:38
SW995813378BR,17/08/2014 17:01:43
SW991611772BR,17/08/2014 17:01:48
PD747725001BR,17/08/2014 17:02:02
PD728833388BR,17/08/2014 17:02:04
SW995250717BR,17/08/2014 17:03:54
PD745648179BR,17/08/2014 17:03:55
DG490462407BR,17/08/2014 17:04:03
PD748409558BR,17/08/2014 20:54:05
PD747718306BR,17/08/2014 20:56:07
PD745634617BR,17/08/2014 20:56:33
PD736355248BR,17/08/2014 20:59:39
DG504995575BR,17/08/2014 20:59:58
PD746696374BR,17/08/2014 20:59:59
SW991211001BR,17/08/2014 21:00:23
PD738482451BR,17/08/2014 21:01:18
PD740512761BR,17/08/2014 21:01:20
SW890580736BR,17/08/2014 21:01:53
PD748032148BR,17/08/2014 21:03:22
PD749046143BR,17/08/2014 21:04:19
DM080924775BR,17/08/2014 21:05:24
